school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,20,R,GT3,A,4,1,other,at_home,reputation,other,4,4,0,yes,yes,yes,no,no,no,no,no,2,2,3,5,1,3,27,7,9,7
GP,M,19,U,LE3,A,2,3,other,teacher,course,father,2,2,4,no,no,yes,yes,no,no,yes,yes,1,1,5,5,3,3,27,17,17,16
GP,F,18,U,LE3,A,1,4,services,at_home,home,father,1,4,4,no,no,yes,yes,no,yes,no,no,4,1,2,4,4,4,22,16,18,17
MS,M,17,U,GT3,A,2,3,services,services,reputation,other,3,4,1,yes,yes,no,no,no,no,no,no,2,2,1,1,5,5,7,10,12,12
MS,M,19,R,LE3,T,1,2,services,at_home,course,father,4,2,0,no,yes,no,no,yes,no,yes,no,2,5,5,1,3,1,13,2,0,0
MS,M,20,U,GT3,T,3,1,services,other,home,other,1,2,4,no,no,yes,yes,no,yes,yes,yes,3,1,2,3,1,2,27,17,20,20
MS,F,20,R,GT3,A,2,1,other,teacher,home,father,4,2,2,yes,yes,yes,no,yes,yes,no,no,5,3,2,2,2,2,18,12,13,12
MS,F,21,U,LE3,A,0,1,health,services,course,father,1,1,3,no,yes,yes,no,yes,no,yes,yes,1,2,2,5,5,1,12,20,17,18
MS,M,16,R,GT3,T,1,3,at_home,other,home,father,4,3,0,yes,yes,no,no,yes,no,no,yes,1,1,3,3,1,1,11,14,14,11
MS,M,15,U,GT3,T,1,0,health,health,reputation,mother,3,2,4,no,no,no,yes,yes,yes,yes,yes,4,4,4,5,1,1,14,19,16,15
GP,F,19,U,GT3,T,2,0,health,teacher,course,mother,2,2,1,no,yes,no,yes,no,no,no,no,4,3,3,1,3,3,28,3,4,3
MS,F,15,R,GT3,T,3,1,at_home,at_home,home,other,4,2,4,no,yes,no,yes,yes,yes,yes,yes,1,2,2,3,2,1,12,9,6,9
GP,M,19,U,GT3,A,2,0,at_home,services,other,other,4,4,0,yes,yes,no,no,yes,yes,no,no,4,4,1,4,1,3,15,1,0,0
GP,M,17,U,LE3,A,4,4,other,health,other,father,2,2,3,no,no,yes,yes,yes,yes,yes,no,3,1,5,5,3,4,1,2,5,7
GP,M,18,R,GT3,T,1,2,at_home,at_home,home,father,3,4,0,yes,no,no,yes,no,yes,no,yes,5,2,5,1,1,3,15,1,4,7
GP,M,18,R,LE3,T,2,3,at_home,teacher,reputation,other,3,4,4,no,no,no,yes,no,yes,no,no,4,2,2,5,4,1,19,11,13,12
MS,M,18,R,GT3,T,4,1,teacher,teacher,home,father,3,4,2,yes,yes,no,no,yes,yes,yes,no,3,1,1,4,1,2,8,12,14,14
MS,F,15,R,LE3,T,3,3,teacher,teacher,course,father,2,1,1,no,no,yes,no,yes,no,no,yes,1,3,1,1,2,4,6,15,15,17
MS,F,15,R,GT3,T,3,1,at_home,other,other,mother,4,3,1,yes,yes,yes,yes,yes,no,yes,yes,5,1,3,4,3,1,5,20,20,20
MS,M,22,R,LE3,T,2,4,teacher,at_home,reputation,other,4,1,2,no,yes,yes,yes,no,yes,yes,yes,2,1,5,3,2,1,24,10,10,12
MS,M,19,U,LE3,A,3,0,teacher,teacher,reputation,father,4,3,2,no,yes,yes,no,yes,no,yes,no,1,5,4,2,3,1,10,14,15,13
MS,M,22,R,LE3,A,4,2,health,at_home,course,other,2,2,1,yes,no,yes,no,yes,no,no,yes,5,1,5,2,4,2,9,18,18,17
MS,M,15,U,GT3,T,2,0,other,other,home,father,2,4,4,yes,yes,no,no,no,no,no,yes,3,4,4,4,2,2,22,0,2,0
MS,F,21,R,LE3,T,4,1,other,other,other,other,3,4,4,no,no,no,no,yes,no,no,no,3,5,1,1,2,5,28,18,15,16
GP,F,16,R,LE3,T,0,4,teacher,services,course,other,1,2,2,yes,no,yes,no,yes,yes,yes,yes,5,3,3,3,4,2,26,19,20,17
GP,F,17,U,GT3,T,0,0,health,services,reputation,father,3,4,2,yes,yes,no,no,no,no,yes,no,2,4,2,5,5,3,15,15,15,18
MS,M,20,U,GT3,A,0,4,at_home,other,course,father,3,3,4,no,no,no,no,yes,yes,no,yes,3,2,3,1,4,4,19,1,0,3
GP,M,18,U,LE3,A,0,4,other,other,course,father,2,4,3,no,yes,no,yes,yes,yes,yes,yes,1,2,4,2,5,3,16,20,18,18
MS,F,21,R,LE3,A,3,3,services,other,home,father,2,4,3,no,yes,no,yes,yes,no,yes,yes,5,5,1,3,1,2,29,16,17,18
MS,M,15,R,LE3,T,3,0,other,at_home,other,other,2,3,0,yes,no,no,no,yes,no,no,no,3,2,5,1,1,4,12,8,7,8
MS,M,22,R,GT3,A,0,1,other,other,home,father,1,1,3,no,yes,no,yes,no,yes,no,no,2,5,3,2,2,3,21,17,19,17
MS,M,15,U,GT3,T,3,3,health,other,reputation,mother,4,2,1,no,yes,yes,yes,yes,no,yes,yes,2,1,5,5,1,3,8,1,1,1
GP,M,18,U,LE3,T,4,3,at_home,other,other,mother,3,3,2,no,no,no,no,yes,yes,yes,yes,4,2,1,2,3,2,11,4,1,0
GP,F,19,R,LE3,T,2,0,teacher,other,reputation,mother,1,3,3,no,yes,no,yes,yes,no,no,yes,2,4,2,3,5,2,13,1,4,2
MS,F,21,U,GT3,T,3,0,other,other,course,mother,2,4,3,no,no,no,yes,no,no,no,no,5,5,5,4,1,1,14,10,9,12
MS,M,15,R,GT3,A,2,0,health,teacher,reputation,other,1,3,4,no,no,no,no,yes,yes,no,yes,2,5,1,1,5,4,1,7,7,7
GP,F,19,R,GT3,T,3,0,at_home,at_home,home,mother,2,4,0,yes,yes,no,no,no,yes,yes,no,5,2,2,5,5,2,6,13,12,15
GP,M,15,U,LE3,A,1,3,at_home,health,course,father,3,3,0,no,yes,yes,yes,no,yes,yes,no,2,4,1,3,2,5,23,3,2,3
MS,F,17,R,LE3,T,1,1,at_home,other,other,father,3,1,1,no,yes,no,yes,no,yes,no,yes,2,3,2,5,2,2,12,9,9,10
GP,F,15,R,LE3,A,0,2,services,teacher,course,father,3,4,4,yes,no,no,yes,yes,no,no,no,2,1,5,3,2,2,24,17,19,20
MS,M,15,R,LE3,A,2,1,health,teacher,home,other,3,1,2,no,no,yes,yes,yes,yes,yes,no,4,3,3,3,5,4,1,18,20,20
GP,F,19,U,LE3,T,3,0,health,services,other,mother,2,1,3,no,yes,no,no,yes,yes,no,yes,3,3,3,5,4,3,17,10,10,13
GP,F,17,R,GT3,T,1,2,at_home,teacher,reputation,other,3,2,3,yes,yes,no,yes,yes,yes,no,yes,4,4,5,4,4,3,24,4,7,9
MS,F,20,U,LE3,T,0,4,health,services,course,mother,1,1,0,no,no,yes,no,yes,yes,yes,yes,1,5,3,3,3,3,23,14,13,16
MS,M,20,U,LE3,A,0,4,at_home,health,course,father,4,4,3,yes,no,yes,yes,no,yes,no,yes,2,5,4,1,5,5,26,19,20,17
MS,F,19,U,GT3,A,1,4,at_home,other,course,father,4,2,4,no,yes,yes,no,no,no,no,yes,5,4,2,2,1,5,11,15,17,15
MS,M,22,R,GT3,T,1,2,health,teacher,other,other,2,4,1,no,no,yes,no,no,yes,yes,yes,1,1,4,5,3,1,5,19,17,20
GP,M,20,U,LE3,A,4,2,teacher,teacher,course,mother,2,2,1,yes,no,yes,yes,yes,no,no,yes,5,3,2,1,4,2,15,7,6,4
MS,M,20,R,LE3,A,3,3,other,other,other,father,3,1,1,yes,yes,no,yes,no,yes,yes,no,2,2,2,1,5,2,10,1,3,6
MS,M,22,U,GT3,T,1,3,services,at_home,course,father,3,1,4,no,no,no,yes,no,no,yes,yes,3,3,1,5,5,4,7,6,8,11
MS,M,17,R,GT3,T,2,4,services,at_home,reputation,mother,2,4,2,no,yes,no,yes,yes,yes,no,yes,1,3,4,5,3,4,30,9,7,6
GP,F,20,U,LE3,T,4,4,services,at_home,other,mother,3,2,2,no,yes,no,no,no,yes,no,yes,2,4,5,5,5,2,13,1,0,0
GP,F,22,U,LE3,A,2,2,services,services,home,other,2,3,2,yes,yes,no,yes,yes,no,yes,no,4,4,2,3,1,3,21,14,13,14
GP,M,16,U,GT3,T,4,3,other,other,other,other,2,2,1,yes,yes,yes,yes,yes,yes,no,yes,4,5,4,2,3,4,26,6,7,6
MS,F,19,U,LE3,A,1,0,health,other,reputation,other,2,4,3,no,yes,yes,yes,yes,yes,yes,yes,1,5,5,1,5,3,28,3,1,0
MS,F,16,U,GT3,T,1,0,other,at_home,home,mother,1,4,4,yes,yes,no,no,no,yes,no,yes,1,3,2,4,1,5,3,17,16,17
MS,M,19,U,GT3,A,3,1,health,health,reputation,mother,3,3,3,no,yes,no,yes,yes,yes,no,no,1,4,4,4,3,1,3,3,4,7
MS,M,22,R,GT3,A,1,4,at_home,other,home,other,2,2,2,no,no,yes,no,yes,no,no,no,1,3,3,1,3,2,20,1,4,6
GP,M,19,U,LE3,A,3,3,other,services,reputation,other,3,3,1,yes,no,no,yes,no,yes,no,yes,5,5,3,2,2,5,15,20,18,15
GP,F,21,R,GT3,T,0,1,other,other,other,mother,4,1,0,no,yes,no,yes,no,yes,yes,no,2,5,1,5,2,3,23,10,13,13
GP,M,18,U,GT3,T,2,0,services,services,other,father,4,4,3,yes,no,yes,yes,yes,no,no,yes,5,2,1,1,4,5,26,2,3,5
MS,F,17,U,GT3,T,4,3,teacher,services,other,mother,3,1,4,no,yes,no,no,no,no,yes,no,2,5,5,4,2,3,10,15,18,16
GP,F,19,U,GT3,A,1,0,at_home,teacher,course,mother,4,4,1,yes,no,no,yes,yes,yes,no,yes,4,3,4,2,2,3,4,16,16,14
MS,M,21,R,LE3,A,3,1,at_home,other,reputation,other,3,3,4,no,yes,yes,no,yes,no,yes,no,4,3,5,5,3,1,7,7,9,6
GP,F,18,R,GT3,T,4,1,teacher,health,home,other,1,4,0,no,yes,no,no,yes,no,yes,no,3,4,3,2,4,3,6,19,19,16
MS,M,20,U,LE3,T,1,2,other,at_home,home,father,3,4,4,no,no,yes,no,yes,yes,no,yes,2,2,5,1,1,1,18,3,5,8
GP,F,15,R,LE3,A,2,0,services,services,other,father,3,3,4,yes,yes,yes,yes,no,no,yes,no,3,4,5,2,3,4,22,6,3,3
MS,F,19,U,LE3,A,4,3,services,health,reputation,other,3,3,0,yes,no,yes,no,yes,no,no,no,4,4,5,4,5,2,29,12,12,11
GP,M,15,R,GT3,A,1,4,teacher,other,home,father,4,1,3,no,yes,no,yes,yes,no,no,no,1,2,1,4,1,1,28,11,10,11
MS,M,15,R,LE3,A,4,3,health,at_home,reputation,mother,3,3,1,yes,no,yes,no,yes,yes,yes,no,3,5,4,5,4,5,25,7,6,6
GP,M,18,R,GT3,A,2,1,teacher,services,other,mother,4,4,1,yes,no,yes,no,yes,no,no,yes,5,2,4,4,1,3,13,20,17,17
GP,M,20,R,LE3,A,2,4,health,teacher,other,other,3,3,4,yes,yes,yes,no,no,yes,no,no,1,5,2,3,5,4,11,18,17,16
MS,F,18,U,GT3,T,0,4,other,teacher,course,mother,2,3,1,yes,yes,no,no,no,no,no,no,3,3,2,1,3,4,24,11,11,14
GP,F,19,R,GT3,T,0,1,at_home,at_home,other,mother,1,4,2,no,no,no,yes,no,yes,yes,yes,3,4,3,2,3,5,9,18,15,17
MS,M,20,U,GT3,A,1,3,services,at_home,home,other,4,1,4,yes,no,yes,no,no,yes,no,no,5,4,2,4,1,2,20,17,19,20
GP,F,18,R,GT3,A,1,0,at_home,other,course,father,1,3,3,no,yes,no,no,yes,yes,yes,yes,2,2,1,5,3,2,25,7,9,10
MS,F,18,U,GT3,A,3,2,other,teacher,home,father,1,1,4,no,yes,yes,no,yes,no,no,yes,1,5,5,1,2,2,15,10,9,11
MS,M,20,U,LE3,A,3,0,services,teacher,reputation,other,2,2,2,no,no,no,no,yes,yes,yes,yes,5,1,5,3,3,4,0,5,6,6
GP,M,15,U,GT3,T,2,4,teacher,teacher,course,mother,4,3,1,no,no,yes,no,no,no,yes,yes,2,5,3,3,2,2,24,2,1,2
GP,M,17,U,GT3,T,2,3,health,teacher,course,mother,1,1,1,no,no,no,yes,no,no,yes,no,5,3,1,5,4,3,7,0,0,1
GP,M,22,U,LE3,T,3,2,services,services,other,mother,3,4,0,no,no,yes,yes,yes,yes,yes,yes,4,2,2,3,3,3,14,20,20,18
GP,F,20,R,LE3,A,0,0,at_home,services,other,mother,2,3,0,yes,no,no,yes,yes,yes,no,yes,5,2,4,2,3,2,7,0,0,0
GP,F,16,U,LE3,T,4,2,teacher,at_home,home,other,2,2,1,no,no,no,yes,no,no,yes,yes,1,5,3,5,1,3,10,6,9,12
GP,M,19,U,GT3,T,3,3,at_home,services,course,other,4,4,2,no,yes,no,no,no,no,no,no,4,5,5,5,4,2,10,17,15,18
GP,M,22,U,LE3,T,3,3,services,teacher,course,mother,2,4,3,no,no,yes,no,yes,yes,no,yes,1,1,5,5,3,5,16,6,7,10
MS,M,19,R,LE3,T,0,2,at_home,services,reputation,father,3,4,3,no,no,no,no,yes,no,yes,no,3,5,2,5,2,5,20,0,3,4
GP,F,22,R,LE3,T,2,4,at_home,at_home,reputation,father,4,4,4,no,no,yes,no,no,yes,no,no,3,3,4,5,2,5,18,5,3,4
MS,F,16,U,LE3,A,3,3,other,services,reputation,father,3,3,0,no,no,no,no,no,yes,yes,no,3,5,4,1,1,3,5,6,4,4
GP,M,18,R,LE3,T,0,3,services,health,home,mother,4,1,4,yes,no,yes,no,yes,yes,no,yes,2,3,3,4,2,5,10,7,5,5
MS,F,15,U,GT3,T,0,0,at_home,other,course,mother,1,3,4,no,yes,no,no,no,no,no,no,4,4,3,1,5,5,30,16,17,15
GP,M,16,U,GT3,A,3,0,health,teacher,course,father,1,1,2,no,no,no,yes,yes,no,no,no,5,2,5,5,1,1,18,14,15,12
GP,F,18,U,GT3,T,4,0,other,other,reputation,mother,2,2,3,yes,no,yes,no,yes,yes,yes,no,1,4,4,5,4,5,10,1,0,2
MS,F,18,R,LE3,T,0,1,other,teacher,course,mother,1,3,4,no,yes,no,yes,yes,yes,yes,no,1,4,4,4,3,3,28,13,11,11
MS,M,15,U,LE3,A,0,3,teacher,health,reputation,other,1,4,3,yes,yes,no,no,yes,no,no,yes,5,1,5,1,4,5,4,14,13,13
MS,M,21,U,GT3,A,4,1,services,services,reputation,father,3,4,2,yes,yes,no,yes,yes,yes,yes,yes,1,4,3,2,4,1,17,0,0,0
GP,F,16,U,GT3,T,1,3,health,services,home,father,4,3,2,no,yes,yes,no,yes,no,yes,yes,1,3,3,2,5,2,13,15,12,14
GP,F,17,U,LE3,A,2,0,health,at_home,home,mother,1,4,2,no,no,yes,yes,no,yes,no,no,5,3,2,5,3,2,4,13,13,15
GP,M,22,U,GT3,A,0,2,services,teacher,reputation,other,3,2,0,no,no,yes,yes,no,yes,yes,yes,3,3,2,2,5,4,12,14,17,14
GP,F,18,U,GT3,A,4,0,at_home,services,other,other,4,3,3,no,no,no,no,no,yes,no,no,3,1,3,4,3,1,14,3,5,2
GP,F,20,R,LE3,A,2,2,teacher,services,course,other,2,1,3,no,yes,yes,yes,no,no,yes,no,2,2,4,4,4,2,12,13,13,11
GP,F,18,R,LE3,T,0,4,health,services,reputation,mother,1,1,1,no,yes,yes,yes,no,yes,yes,no,4,3,1,4,5,3,7,11,10,7
GP,F,20,U,GT3,T,3,4,other,at_home,home,mother,3,3,1,yes,no,yes,yes,yes,no,no,no,3,1,1,2,1,3,0,10,7,6
MS,M,16,R,LE3,A,3,1,other,teacher,other,father,3,1,1,yes,yes,no,no,yes,yes,no,yes,3,2,1,4,1,2,1,17,17,17
MS,F,16,R,LE3,T,2,4,teacher,health,home,other,1,2,4,no,yes,yes,no,yes,yes,yes,yes,5,1,3,5,3,4,11,1,4,3
MS,M,18,U,LE3,T,1,2,teacher,health,other,other,3,4,0,yes,no,yes,no,no,yes,no,no,4,4,1,2,1,5,13,6,6,5
MS,F,20,R,GT3,A,2,4,health,services,course,father,4,3,2,yes,yes,yes,yes,yes,no,yes,no,3,1,4,1,3,5,3,18,18,20
MS,F,18,R,LE3,T,2,0,other,teacher,course,other,4,4,0,no,no,yes,yes,no,yes,yes,no,5,3,1,2,2,1,24,10,7,8
MS,M,15,U,GT3,T,0,1,services,other,home,father,1,1,2,no,yes,no,yes,yes,yes,yes,yes,1,3,3,4,3,5,18,13,10,13
GP,M,18,R,LE3,T,0,2,teacher,other,home,father,2,1,4,yes,yes,no,no,yes,yes,yes,no,5,5,4,2,1,5,4,2,5,7
MS,F,17,U,GT3,T,1,3,services,other,home,other,2,3,0,no,no,no,no,no,yes,no,no,3,5,1,1,5,4,8,7,9,12
MS,M,22,R,LE3,A,0,2,other,health,other,other,1,1,4,yes,no,yes,yes,yes,no,yes,no,2,5,5,5,2,4,27,3,4,3
MS,M,18,U,GT3,T,3,4,services,services,course,other,1,1,4,yes,yes,no,yes,no,yes,no,yes,4,5,5,1,4,1,2,19,19,20
MS,F,18,R,GT3,T,2,1,at_home,at_home,course,mother,1,3,3,no,no,yes,no,yes,yes,no,yes,2,5,4,5,5,4,10,17,18,20
MS,F,19,U,LE3,A,1,0,teacher,health,course,father,1,4,1,yes,yes,yes,yes,yes,yes,yes,yes,4,1,1,3,5,1,10,0,2,5
GP,M,21,U,LE3,T,3,2,health,other,course,other,2,3,2,no,no,no,no,no,yes,yes,no,2,2,3,3,1,1,26,11,10,10
MS,F,19,R,LE3,A,4,4,other,services,other,other,1,3,4,yes,yes,no,no,no,no,yes,yes,2,2,5,5,4,2,28,2,1,0
GP,M,16,U,LE3,A,1,0,teacher,at_home,reputation,mother,2,3,1,no,yes,yes,no,no,yes,no,yes,2,3,5,4,5,2,19,5,2,1
GP,M,17,U,LE3,T,0,0,services,other,reputation,father,4,4,2,no,no,yes,no,yes,no,no,no,1,4,5,5,2,3,3,2,3,6
GP,M,17,R,GT3,A,0,3,services,other,other,father,3,1,0,yes,no,yes,no,yes,yes,no,yes,3,1,5,2,4,5,15,15,16,13
GP,M,15,U,LE3,A,3,3,other,at_home,home,father,2,4,0,no,yes,no,yes,yes,yes,no,yes,1,2,1,2,1,3,3,16,16,19
MS,F,22,R,GT3,A,1,4,services,health,other,other,2,1,3,yes,yes,no,no,yes,yes,yes,no,1,1,5,1,5,3,16,17,19,18
GP,F,21,R,GT3,A,0,2,health,services,other,father,4,1,3,no,yes,no,yes,yes,no,yes,yes,1,3,3,4,4,5,8,8,8,8
MS,F,20,U,LE3,T,4,0,at_home,health,other,father,1,1,1,yes,yes,yes,no,yes,yes,yes,no,3,2,5,1,4,1,26,17,16,13
GP,F,18,U,LE3,A,1,4,teacher,teacher,course,other,2,2,3,yes,no,no,no,no,no,yes,yes,1,5,3,3,1,4,24,20,20,20
GP,M,15,U,LE3,A,3,3,services,services,home,other,4,2,3,yes,yes,yes,yes,yes,no,no,no,3,2,3,4,1,2,28,5,7,5
MS,F,19,R,GT3,T,3,3,services,teacher,reputation,other,3,2,3,no,yes,yes,no,no,no,yes,no,2,4,4,3,1,1,28,7,6,3
MS,M,22,U,GT3,A,4,3,at_home,other,course,other,1,2,1,no,yes,no,no,no,no,yes,yes,1,3,5,1,3,1,14,8,7,6
MS,F,16,U,LE3,T,0,0,health,health,other,father,2,2,1,yes,yes,no,yes,no,no,yes,no,1,4,2,2,5,2,2,13,13,12
MS,F,15,U,GT3,T,3,3,teacher,teacher,course,other,4,4,2,yes,yes,yes,yes,no,no,no,no,3,4,2,3,1,4,27,9,10,10
