school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,18,U,GT3,T,2,2,teacher,health,reputation,other,1,4,1,yes,no,yes,no,no,no,no,no,3,3,3,5,4,4,3,13,12,12
MS,M,15,U,LE3,T,2,4,other,other,other,father,2,2,2,yes,no,yes,no,no,no,no,no,4,2,3,2,2,5,15,7,5,6
GP,F,15,U,GT3,T,1,0,health,teacher,reputation,other,4,3,0,no,no,yes,yes,no,yes,yes,no,5,3,1,5,4,2,3,9,8,7
GP,M,20,R,GT3,T,2,3,at_home,other,reputation,other,2,3,0,yes,yes,no,no,no,no,yes,yes,2,1,4,4,3,5,27,8,6,5
GP,M,19,U,LE3,A,4,4,teacher,health,course,mother,2,2,3,yes,no,yes,yes,no,no,no,yes,1,5,3,1,1,4,7,4,6,7
MS,M,15,R,GT3,A,1,2,other,at_home,other,mother,4,1,4,no,yes,yes,yes,no,yes,no,yes,4,3,3,1,1,1,30,3,3,3
GP,F,16,U,GT3,A,4,4,other,at_home,home,mother,1,3,4,yes,no,no,yes,no,no,no,yes,5,2,5,5,2,4,5,3,3,3
MS,F,16,U,GT3,A,3,2,at_home,teacher,course,father,2,4,4,yes,no,yes,yes,no,yes,no,no,5,4,3,4,3,4,26,12,11,11
MS,F,22,R,LE3,A,2,2,at_home,other,reputation,father,4,3,3,no,yes,yes,yes,yes,no,yes,no,3,1,4,4,2,3,7,5,6,6
GP,M,22,R,GT3,T,2,4,other,teacher,home,mother,3,2,4,yes,no,no,no,yes,yes,yes,no,2,5,5,5,5,5,7,6,7,7
GP,M,15,R,LE3,A,3,0,teacher,health,course,father,3,4,1,no,no,no,yes,no,no,no,yes,3,1,1,1,3,1,21,6,8,7
GP,M,21,R,LE3,A,1,1,at_home,at_home,home,other,2,4,4,no,no,yes,yes,yes,no,yes,yes,5,2,3,3,2,4,3,7,9,10
MS,M,21,U,GT3,A,3,4,health,services,home,other,2,3,0,yes,no,yes,yes,no,yes,no,no,5,2,5,4,4,2,15,18,17,18
GP,M,19,U,LE3,A,3,4,teacher,services,home,father,2,2,3,no,no,no,no,no,no,yes,yes,5,1,2,3,1,3,7,10,9,9
MS,F,16,R,GT3,T,3,4,health,at_home,home,other,2,3,0,no,no,no,yes,no,yes,yes,yes,5,3,5,4,2,5,4,9,7,8
MS,M,17,R,GT3,A,4,2,other,teacher,reputation,father,1,3,1,yes,yes,yes,no,yes,no,no,yes,5,3,4,4,4,1,20,6,8,9
MS,M,22,R,GT3,T,0,3,services,teacher,other,mother,4,2,3,no,no,no,no,yes,no,no,yes,1,1,4,1,1,2,14,7,8,7
GP,M,17,R,LE3,A,2,0,services,health,home,father,3,2,3,yes,yes,yes,yes,no,yes,yes,yes,5,4,1,1,3,1,27,5,6,5
GP,M,16,U,LE3,A,2,2,health,at_home,reputation,other,2,1,4,yes,yes,no,no,yes,yes,no,no,2,1,1,2,1,5,23,5,6,6
GP,F,19,U,LE3,A,0,2,health,other,reputation,other,4,3,0,yes,no,no,yes,yes,no,yes,yes,3,3,2,4,5,4,11,13,14,13
GP,F,15,R,LE3,T,0,3,other,services,other,father,4,1,4,yes,no,yes,no,yes,yes,yes,no,4,5,1,3,4,2,1,1,2,1
MS,F,19,U,LE3,T,1,0,health,at_home,course,other,3,2,2,yes,no,yes,yes,no,no,no,yes,3,5,1,4,4,5,11,3,5,4
MS,F,19,U,LE3,T,4,0,teacher,teacher,reputation,mother,4,3,3,yes,yes,yes,no,yes,no,yes,no,3,3,1,5,3,1,16,9,8,7
GP,M,16,R,GT3,A,2,0,other,at_home,home,father,2,3,4,no,yes,no,no,no,yes,yes,yes,1,4,1,2,5,3,20,0,0,1
MS,M,16,U,LE3,A,3,0,health,services,home,mother,2,4,2,no,yes,yes,yes,no,yes,yes,no,2,2,3,3,3,4,22,8,9,9
GP,F,18,U,LE3,T,0,1,at_home,at_home,course,father,1,3,1,no,no,no,no,yes,yes,yes,no,5,1,2,3,2,1,22,7,8,9
GP,M,19,U,LE3,A,3,4,other,health,home,father,1,2,0,yes,yes,yes,yes,yes,no,no,yes,5,5,3,1,1,1,6,18,17,16
MS,F,15,R,LE3,T,4,3,at_home,at_home,home,father,4,2,2,yes,yes,no,no,no,yes,yes,yes,3,4,4,5,4,1,2,8,7,7
GP,F,15,R,GT3,A,4,3,services,other,course,father,3,2,0,no,yes,yes,no,yes,no,no,yes,2,1,2,2,3,5,26,4,6,6
MS,F,17,U,GT3,A,4,0,services,other,reputation,other,2,4,4,no,yes,no,yes,yes,yes,yes,yes,1,5,4,1,3,5,6,4,3,3
GP,F,17,U,LE3,A,0,2,at_home,other,home,father,3,3,1,yes,no,no,no,yes,no,yes,yes,4,3,3,2,2,1,30,14,16,15
GP,M,18,U,GT3,T,2,0,health,services,course,mother,1,3,3,yes,no,yes,yes,yes,no,no,yes,1,1,4,4,4,2,28,7,8,8
MS,F,22,U,LE3,A,0,0,services,teacher,course,father,1,1,2,yes,no,yes,yes,yes,no,no,yes,4,2,5,4,2,1,3,7,6,6
MS,M,19,U,LE3,T,3,4,other,at_home,reputation,mother,3,1,3,yes,no,no,yes,yes,yes,yes,yes,3,1,4,1,3,4,15,8,6,7
MS,F,20,R,GT3,T,3,0,services,at_home,other,father,2,3,4,yes,yes,yes,yes,no,no,yes,yes,4,5,4,5,4,5,28,2,2,1
MS,F,17,U,GT3,T,1,1,health,health,home,father,1,4,1,yes,no,no,yes,yes,no,no,no,3,5,4,1,5,5,16,9,10,9
GP,F,16,U,GT3,A,3,2,at_home,at_home,other,mother,2,3,3,yes,no,yes,no,no,yes,yes,no,3,3,1,3,3,3,8,7,6,5
MS,M,20,R,GT3,T,1,3,health,at_home,other,other,3,1,4,yes,yes,no,no,yes,yes,yes,yes,2,1,2,1,4,1,29,1,1,1
MS,M,16,U,LE3,A,3,4,at_home,health,other,other,3,3,1,no,yes,no,yes,no,yes,yes,yes,2,2,2,3,4,5,0,14,15,14
GP,F,18,R,GT3,A,3,3,services,at_home,course,mother,4,3,4,no,yes,yes,no,no,no,yes,no,1,3,3,3,3,3,20,10,9,8
GP,F,21,R,LE3,T,3,2,services,at_home,other,father,1,2,2,yes,no,no,no,yes,yes,no,yes,4,2,3,5,2,3,20,2,2,1
MS,M,20,R,GT3,A,3,0,at_home,teacher,home,father,2,1,3,no,no,yes,yes,yes,yes,no,no,5,4,2,3,2,1,15,4,4,5
GP,F,22,R,LE3,T,4,1,at_home,teacher,reputation,other,4,4,3,no,no,no,yes,yes,yes,no,yes,3,5,2,1,1,2,7,9,8,7
MS,M,17,U,LE3,A,2,3,other,other,course,father,2,3,3,no,yes,yes,no,yes,yes,yes,yes,2,1,5,5,2,1,11,10,11,12
MS,F,15,U,LE3,T,0,3,at_home,at_home,home,other,3,4,1,yes,yes,no,no,yes,no,yes,no,1,5,5,1,3,1,25,7,6,7
GP,M,18,R,GT3,A,1,0,other,at_home,reputation,other,4,3,1,yes,yes,yes,yes,no,yes,yes,yes,1,3,2,4,3,3,14,2,1,0
MS,M,20,R,LE3,T,0,0,health,health,course,father,4,3,0,no,no,yes,yes,no,no,no,no,4,4,4,2,1,2,22,5,3,3
MS,M,17,R,GT3,T,1,3,at_home,teacher,other,father,1,1,2,no,yes,yes,no,yes,no,yes,no,3,4,2,5,5,1,0,11,13,13
MS,F,16,R,GT3,T,2,2,teacher,other,reputation,other,4,4,1,yes,no,no,no,yes,no,no,no,1,4,1,1,4,4,1,17,15,14
MS,F,22,R,GT3,T,1,3,services,other,other,other,3,4,0,yes,yes,yes,no,no,no,no,yes,1,2,4,2,4,1,8,16,15,14
MS,F,22,U,GT3,T,3,0,other,teacher,other,father,2,4,0,yes,no,no,yes,yes,yes,yes,no,5,5,3,5,4,4,19,9,10,10
MS,M,17,U,GT3,A,4,2,other,health,reputation,mother,3,3,1,yes,no,yes,no,no,no,no,no,1,5,1,1,4,2,1,14,13,13
GP,M,19,U,LE3,A,1,4,teacher,services,other,mother,2,4,1,no,yes,no,no,no,no,yes,yes,3,2,5,4,2,3,24,16,18,17
GP,M,22,U,LE3,T,1,4,teacher,at_home,home,father,3,3,1,yes,no,yes,no,no,yes,yes,yes,3,5,1,5,3,4,25,14,14,13
MS,F,17,U,LE3,A,4,4,at_home,teacher,course,mother,2,3,2,no,no,yes,no,yes,yes,no,no,2,5,5,2,1,3,12,6,6,7
MS,F,20,R,GT3,T,2,1,services,other,home,mother,2,1,0,yes,yes,no,yes,yes,no,yes,yes,1,4,3,1,1,1,1,9,11,10
GP,M,21,R,GT3,A,3,2,teacher,at_home,home,other,1,1,4,yes,yes,no,yes,no,no,yes,no,4,4,4,1,4,2,17,1,2,3
MS,F,19,R,LE3,T,0,0,teacher,other,other,other,1,3,1,no,yes,no,yes,yes,yes,yes,no,2,1,2,5,1,5,14,17,15,15
GP,M,16,U,GT3,A,2,1,health,teacher,course,other,1,2,2,no,no,no,no,yes,no,no,no,2,1,3,2,2,4,8,8,8,8
MS,M,20,R,GT3,T,1,4,teacher,services,reputation,other,2,3,0,yes,yes,yes,no,yes,yes,no,no,2,3,4,2,5,3,4,16,18,17
MS,M,15,U,LE3,T,3,1,health,other,reputation,other,4,3,0,yes,no,yes,yes,no,no,yes,yes,2,5,3,4,4,4,28,2,2,1
MS,M,17,R,GT3,A,4,0,other,services,other,mother,4,3,2,no,no,yes,yes,no,yes,yes,yes,5,3,2,2,2,2,11,11,10,10
MS,F,22,R,GT3,T,4,1,at_home,teacher,reputation,mother,2,2,1,yes,yes,yes,yes,no,yes,no,yes,3,1,2,4,5,4,27,8,7,7
GP,F,19,U,GT3,A,4,4,teacher,health,other,father,2,1,0,yes,no,yes,yes,yes,no,yes,yes,1,4,2,5,5,1,28,13,15,15
MS,F,21,U,GT3,A,2,4,other,teacher,other,mother,3,4,1,yes,no,no,no,yes,yes,yes,yes,5,1,4,2,3,4,11,6,7,8
MS,M,21,R,GT3,A,1,3,other,other,other,mother,3,4,2,no,no,no,yes,yes,yes,no,yes,1,2,5,4,3,5,19,11,10,10
GP,F,17,R,GT3,T,0,2,health,services,home,other,1,4,3,no,yes,yes,no,no,yes,yes,no,2,1,5,5,5,2,19,1,1,0
GP,F,16,R,GT3,A,3,3,other,health,home,other,1,1,4,no,no,no,no,yes,yes,no,no,5,1,3,2,4,5,3,6,8,8
MS,F,19,R,GT3,A,4,3,health,services,other,other,4,1,3,yes,no,yes,no,yes,yes,no,no,3,5,5,1,3,2,9,3,3,2
GP,M,20,R,LE3,A,1,1,at_home,health,reputation,other,2,3,1,yes,yes,yes,no,yes,yes,yes,yes,4,5,1,5,1,4,11,14,15,16
MS,M,17,R,GT3,T,4,1,teacher,other,other,father,1,3,3,yes,no,yes,no,no,yes,yes,yes,4,5,1,3,3,5,27,3,5,5
GP,M,22,R,GT3,T,3,3,health,at_home,course,father,4,3,3,yes,yes,yes,yes,no,yes,no,no,2,2,2,4,1,2,13,8,10,11
MS,M,19,R,LE3,A,0,1,teacher,health,course,father,1,4,2,no,no,no,no,no,yes,no,yes,3,5,2,5,5,5,5,8,8,9
MS,M,16,R,GT3,A,1,1,services,at_home,other,mother,1,2,2,yes,no,no,no,no,no,no,no,3,5,5,4,4,2,5,2,1,2
MS,F,18,U,GT3,T,0,0,at_home,other,home,mother,4,1,0,no,yes,yes,no,no,yes,yes,no,4,2,2,5,2,1,1,16,16,16
MS,M,22,U,LE3,A,4,3,other,other,course,father,4,2,0,no,no,no,no,no,yes,no,yes,1,5,2,3,3,4,17,6,7,7
GP,M,19,U,LE3,A,1,3,other,at_home,other,mother,2,4,3,yes,no,yes,no,yes,no,no,no,4,2,1,2,2,3,3,15,17,17
MS,M,18,R,LE3,T,0,4,teacher,health,home,father,3,2,3,yes,yes,yes,yes,yes,no,yes,no,4,3,4,3,4,1,10,1,0,0
MS,F,22,U,LE3,A,3,0,teacher,health,other,father,2,1,1,no,yes,yes,no,no,no,no,yes,1,5,5,1,3,4,20,6,6,5
GP,F,18,R,GT3,T,1,2,other,teacher,other,mother,1,1,4,no,yes,no,yes,yes,yes,no,yes,5,3,1,1,3,2,22,4,3,3
GP,M,20,R,LE3,T,3,2,health,services,home,father,4,3,4,no,yes,yes,no,no,no,no,yes,1,5,2,4,3,3,17,6,4,5
MS,F,15,R,LE3,A,0,4,at_home,health,other,other,2,3,2,no,no,yes,yes,yes,yes,yes,yes,1,2,1,4,2,1,1,15,16,17
MS,F,20,U,LE3,T,1,3,teacher,at_home,home,father,4,3,0,no,yes,yes,no,yes,yes,yes,yes,2,5,4,2,2,5,21,11,10,11
MS,F,20,R,GT3,T,1,1,other,at_home,course,other,2,4,2,no,no,no,no,no,no,yes,yes,4,5,3,3,4,4,30,6,4,4
GP,F,19,U,GT3,T,1,2,teacher,services,reputation,mother,1,4,2,yes,yes,no,no,yes,yes,no,no,1,5,4,5,2,1,23,9,8,8
GP,M,15,R,LE3,T,2,2,at_home,at_home,home,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,4,4,5,5,5,1,7,12,13,12
GP,M,16,R,LE3,A,2,0,at_home,other,other,other,2,2,3,yes,no,no,yes,yes,yes,yes,no,4,3,5,1,1,4,13,7,6,6
MS,F,19,U,GT3,A,4,1,at_home,teacher,reputation,mother,3,2,0,yes,yes,yes,yes,no,yes,no,yes,3,4,4,1,3,2,23,12,11,12
MS,M,17,U,GT3,T,2,1,teacher,services,reputation,other,3,1,3,yes,yes,no,no,no,yes,yes,no,4,2,4,5,1,3,15,11,9,8
GP,M,15,U,LE3,A,2,3,at_home,health,home,father,3,3,2,yes,no,yes,no,no,yes,no,yes,2,3,4,2,1,4,16,16,15,15
GP,F,21,R,GT3,A,4,1,health,health,reputation,mother,3,2,3,yes,yes,no,yes,yes,yes,no,yes,1,3,4,4,3,4,23,10,9,8
GP,F,17,U,GT3,T,4,1,health,teacher,course,mother,4,2,4,no,no,yes,no,no,no,yes,yes,2,2,1,4,1,3,30,3,2,1
GP,F,22,R,GT3,A,1,3,at_home,teacher,other,other,3,4,4,yes,yes,no,no,yes,yes,no,yes,5,4,5,1,2,3,14,8,8,8
GP,M,19,U,LE3,A,3,0,other,teacher,reputation,other,2,4,3,no,no,yes,yes,no,yes,no,yes,3,3,2,1,1,1,22,10,8,9
MS,F,21,R,LE3,T,2,4,health,health,reputation,mother,1,4,2,no,no,no,yes,yes,yes,yes,yes,5,3,1,4,4,4,17,5,6,5
GP,M,22,R,GT3,T,4,4,teacher,health,course,other,2,1,1,yes,yes,no,yes,yes,yes,no,no,1,1,1,4,2,2,21,8,10,11
GP,M,20,U,LE3,A,2,2,at_home,teacher,other,other,1,3,3,yes,yes,no,no,no,yes,yes,yes,1,5,5,1,4,5,29,6,8,8
MS,M,17,R,GT3,A,1,4,health,services,reputation,mother,1,1,3,yes,yes,no,no,yes,no,no,yes,1,2,3,3,1,3,9,11,11,10
GP,M,20,R,LE3,T,1,2,services,at_home,other,mother,2,4,1,no,no,no,no,yes,no,no,yes,2,5,3,3,1,2,8,7,8,9
GP,M,17,U,GT3,A,0,2,at_home,teacher,other,mother,3,4,2,yes,no,yes,yes,no,yes,yes,yes,4,5,1,4,5,2,6,10,12,12
MS,F,16,U,LE3,T,3,3,other,teacher,home,father,1,1,2,no,yes,yes,no,yes,no,yes,no,2,2,3,3,5,3,24,5,5,4
GP,M,16,U,LE3,T,4,2,other,services,course,mother,3,2,1,yes,no,no,no,yes,yes,yes,no,1,1,4,1,1,4,12,9,11,12
MS,M,19,R,LE3,T,3,4,health,teacher,other,mother,4,3,3,no,yes,yes,yes,no,no,no,yes,3,3,4,4,1,1,15,3,4,4
GP,M,20,U,LE3,A,0,2,other,teacher,course,other,4,4,4,no,yes,yes,yes,no,no,yes,no,2,5,4,4,5,3,17,2,0,1
MS,F,22,R,LE3,A,1,2,at_home,teacher,home,other,4,3,3,yes,yes,yes,yes,yes,yes,yes,no,5,3,4,5,5,4,6,4,4,5
MS,M,20,U,LE3,A,1,2,teacher,services,home,mother,3,1,2,yes,yes,no,no,no,no,no,no,4,5,2,2,4,2,6,11,11,11
GP,M,17,U,LE3,T,0,1,at_home,at_home,reputation,mother,2,4,3,no,yes,no,no,no,no,no,yes,2,4,5,1,5,4,27,6,6,6
MS,F,15,R,GT3,T,4,3,teacher,health,course,father,1,1,1,no,yes,no,yes,no,yes,no,no,5,4,5,3,4,3,30,5,4,3
MS,M,15,R,LE3,T,2,4,teacher,services,other,mother,2,1,2,no,yes,no,no,no,yes,yes,yes,5,2,4,3,2,3,25,5,4,5
GP,M,16,U,LE3,A,3,3,health,at_home,reputation,mother,3,1,2,yes,yes,yes,no,no,no,no,no,5,2,4,4,4,3,4,11,9,9
MS,M,20,U,LE3,A,3,4,services,services,course,father,1,3,4,no,no,yes,yes,no,yes,no,yes,1,1,1,4,1,5,3,13,13,12
MS,M,18,U,LE3,T,0,4,health,other,home,other,1,1,4,yes,no,yes,yes,yes,no,no,no,1,4,3,4,3,3,5,0,0,0
MS,M,15,R,GT3,T,3,0,at_home,health,other,mother,4,1,1,no,yes,yes,no,no,yes,yes,yes,1,5,3,4,1,4,4,12,10,11
